日期,人数,新增
2020-10-19T00:00:00Z,19,确诊
2020-10-20T00:00:00Z,11,确诊
2020-10-21T00:00:00Z,14,确诊
2020-10-22T00:00:00Z,18,确诊
2020-10-23T00:00:00Z,31,确诊
2020-10-24T00:00:00Z,15,确诊
2020-10-25T00:00:00Z,17,确诊
2020-10-26T00:00:00Z,16,确诊
2020-10-27T00:00:00Z,42,确诊
2020-10-28T00:00:00Z,47,确诊
2020-10-29T00:00:00Z,25,确诊
2020-10-30T00:00:00Z,33,确诊
2020-10-31T00:00:00Z,24,确诊
2020-11-01T00:00:00Z,24,确诊
2020-11-02T00:00:00Z,49,确诊
2020-11-03T00:00:00Z,17,确诊
2020-11-04T00:00:00Z,28,确诊
2020-11-05T00:00:00Z,36,确诊
2020-11-06T00:00:00Z,33,确诊
2020-11-07T00:00:00Z,28,确诊
2020-11-08T00:00:00Z,33,确诊
2020-11-09T00:00:00Z,22,确诊
2020-11-10T00:00:00Z,17,确诊
2020-11-11T00:00:00Z,15,确诊
2020-11-12T00:00:00Z,8,确诊
2020-11-13T00:00:00Z,18,确诊
2020-11-14T00:00:00Z,13,确诊
2020-11-15T00:00:00Z,8,确诊
2020-11-16T00:00:00Z,14,确诊
2020-11-17T00:00:00Z,9,确诊
2020-11-18T00:00:00Z,12,确诊
2020-11-19T00:00:00Z,17,确诊
2020-11-20T00:00:00Z,16,确诊
2020-11-21T00:00:00Z,17,确诊
2020-11-22T00:00:00Z,11,确诊
2020-11-23T00:00:00Z,22,确诊
2020-11-24T00:00:00Z,5,确诊
2020-11-25T00:00:00Z,21,确诊
2020-11-26T00:00:00Z,5,确诊
2020-11-27T00:00:00Z,6,确诊
2020-11-28T00:00:00Z,11,确诊
2020-11-29T00:00:00Z,18,确诊
2020-11-30T00:00:00Z,12,确诊
2020-12-01T00:00:00Z,9,确诊
2020-12-02T00:00:00Z,17,确诊
2020-12-03T00:00:00Z,18,确诊
2020-12-04T00:00:00Z,15,确诊
2020-12-05T00:00:00Z,18,确诊
2020-12-06T00:00:00Z,15,确诊
2020-12-07T00:00:00Z,15,确诊
2020-12-08T00:00:00Z,12,确诊
2020-12-09T00:00:00Z,12,确诊
2020-12-10T00:00:00Z,15,确诊
2020-12-11T00:00:00Z,13,确诊
2020-12-12T00:00:00Z,24,确诊
2020-12-13T00:00:00Z,16,确诊
2020-12-14T00:00:00Z,17,确诊
2020-12-15T00:00:00Z,12,确诊
2020-12-16T00:00:00Z,7,确诊
2020-12-17T00:00:00Z,12,确诊
2020-12-18T00:00:00Z,17,确诊
2020-12-19T00:00:00Z,23,确诊
2020-12-20T00:00:00Z,23,确诊
2020-12-21T00:00:00Z,15,确诊
2020-12-22T00:00:00Z,15,确诊
2020-12-23T00:00:00Z,17,确诊
2020-12-24T00:00:00Z,14,确诊
2020-12-25T00:00:00Z,20,确诊
2020-12-26T00:00:00Z,22,确诊
2020-12-27T00:00:00Z,21,确诊
2020-12-28T00:00:00Z,27,确诊
